obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.3, 314626, 53395, 43738, 35896, 3315, 4552, 3260, 3576, 34, 41, 1, 462358,  1*
2, 2.3, 28647, 41625, 65606, 27339, 3791, 7044, 3669, 3215, 14, 50, 1, 180936,  1*
3, 3.4, 13348, 11696, 11643, 19110, 8706, 3616, 2372, 6126, 1, 64, 0, 76617,  1*
4, 4.3, 704001, 13204, 38912, 24943, 4651, 8090, 1687, 2864, 1, 81, 1, 798352,  1*
5, 5.4, 78135, 67322, 21911, 3338, 5805, 2891, 2616, 2590, 1, 60, 1, 184608,  1*
6, 6.4, 11091, 22858, 9896, 8945, 8158, 9373, 2186, 1953, 17, 41, 1, 74460,  1*
7, 8.4, 40753, 23013, 2665, 10157, 9277, 6001, 4490, 5264, 26, 17, 0, 101620,  1*
8, 9.3, 9026, 6624, 25938, 6750, 6581, 4013, 5524, 5630, 27, 13, 1, 70086,  1*
9, 10.4, 66788, 38308, 54623, 23053, 11321, 4123, 7458, 7512, 4, 34, 1, 213186,  1*
10, 11.4, 15217, 27106, 32171, 13641, 12686, 9185, 7304, 2144, 1, 56, 1, 119454,  1*
11, 12.3, 36673, 91404, 7450, 4197, 6119, 5699, 2474, 3045, 8, 57, 1, 157061,  1*
12, 13.4, 19450, 16263, 7868, 5010, 4833, 5688, 3212, 1652, 16, 41, 1, 63976,  1*
13, 14.3, 6769, 40148, 7335, 11810, 10121, 3272, 2152, 3473, 20, 26, 0, 85080,  1*
14, 15.3, 13497, 19144, 8831, 3802, 4926, 6602, 4576, 1507, 24, 16, 1, 62885,  1*
15, 16.4, 18282, 33018, 15595, 5335, 7000, 10633, 4316, 3030, 41, 30, 1, 97209,  1*
16, 17.3, 11848, 14341, 15148, 9075, 5517, 4398, 4947, 2270, 35, 40, 1, 67544,  1*
17, 18.4, 8484, 13090, 3570, 6072, 5630, 5909, 5402, 2635, 54, 41, 0, 50792,  1*
18, 19.3, 31862, 41395, 26820, 22684, 7849, 9690, 6512, 9666, 47, 50, 1, 156478,  1*
19, 20.2, 5849, 17544, 19065, 6233, 9084, 9219, 5614, 1673, 48, 54, 1, 74281,  1*
20, 21.4, 6794, 11189, 19571, 1915, 1382, 4411, 3465, 4211, 50, 57, 1, 52938,  1*
21, 22.3, 67182, 61857, 38334, 19566, 8266, 4555, 7233, 8106, 26, 64, 1, 215099,  1*
22, 23.4, 29663, 16174, 11730, 2816, 10161, 6637, 4947, 3839, 35, 57, 1, 85967,  1*
23, 24.3, 23452, 22338, 29085, 5605, 7266, 15488, 5122, 2583, 38, 57, 1, 110939,  1*
24, 25.3, 98789, 143903, 17652, 18942, 17226, 5869, 4271, 3282, 20, 38, 0, 309934,  1*
25, 26.3, 13546, 12441, 8263, 4544, 6727, 5435, 4980, 5450, 41, 34, 1, 61386,  1*
26, 27.3, 18224, 24214, 1677, 3066, 1619, 12146, 8189, 2919, 50, 20, 0, 72054,  1*
27, 28.2, 15120, 30154, 25840, 9988, 5610, 11031, 3796, 7180, 41, 20, 1, 108719,  1*
28, 29.3, 378138, 128307, 5667, 7121, 2469, 4872, 5290, 4212, 41, 11, 0, 536076,  1*
29, 30.2, 10840, 34203, 24065, 23505, 6612, 6141, 4866, 5287, 27, 17, 1, 115519,  1*
30, 32.3, 10143, 48142, 16055, 4429, 5960, 7465, 1554, 2237, 11, 29, 1, 95985,  1*
31, 33.2, 27999, 38871, 5539, 15171, 26454, 7424, 1393, 2612, 30, 35, 0, 125463,  1*
32, 34.3, 5220, 4314, 14691, 5830, 11603, 5312, 6073, 4435, 44, 35, 1, 57478,  1*
33, 35.2, 6346, 16389, 3323, 2961, 3891, 4372, 1955, 2586, 53, 30, 1, 41823,  1*
34, 36.3, 6362, 20168, 5513, 11570, 5596, 3178, 4506, 4489, 41, 37, 0, 61382,  1*
35, 37.3, 7727, 12499, 16853, 12659, 4176, 12028, 5043, 2733, 51, 50, 1, 73718,  1*
36, 38.2, 3243, 53170, 8981, 12290, 2424, 6962, 5200, 4982, 40, 38, 0, 97252,  1*
37, 39.3, 45043, 47811, 15477, 5329, 6104, 5166, 2315, 3090, 27, 41, 1, 130335,  1*
38, 40.2, 58526, 46884, 9621, 2160, 2417, 1383, 1239, 538, 16, 30, 1, 122768,  1*
39, 41.2, 17684, 21023, 6314, 14388, 3611, 4350, 7709, 3578, 7, 27, 0, 78657,  1*
40, 42.3, 52780, 49076, 8905, 7399, 4817, 9020, 5414, 1974, 14, 24, 1, 139385,  1*
41, 43.2, 8308, 38546, 12512, 6684, 4124, 6060, 3634, 5070, 21, 26, 1, 84938,  1*
42, 44.1, 67531, 62482, 28424, 16155, 21564, 6647, 3603, 4695, 30, 35, 1, 211101,  1*
43, 45.3, 48264, 65036, 9685, 11170, 3481, 9837, 3920, 15127, 34, 23, 0, 166520,  1*
44, 46.2, 5670, 56640, 18528, 5093, 2299, 3255, 11583, 2255, 17, 27, 1, 105323,  1*
45, 47.3, 22481, 19998, 3935, 4605, 10474, 7536, 4583, 4799, 30, 21, 0, 78411,  1*
46, 48.2, 19282, 27418, 6388, 11487, 10181, 13699, 5638, 2963, 50, 17, 0, 97056,  1*
47, 50.2, 80053, 29735, 5962, 12754, 8591, 9482, 5395, 3019, 56, 23, 0, 154991,  1*
48, 51.2, 23067, 22841, 11241, 4191, 4067, 5541, 4361, 3213, 60, 48, 1, 78522,  1*
49, 52.2, 37747, 65769, 13962, 3898, 7859, 6482, 5333, 3374, 43, 43, 1, 144424,  1*
50, 53.2, 11955, 27992, 36553, 11418, 4747, 5439, 6382, 2359, 29, 54, 1, 106845,  1*
51, 54.2, 113330, 15349, 968, 4211, 1598, 1941, 1178, 742, 29, 35, 0, 139317,  1*
52, 56.1, 13631, 42826, 6229, 8059, 11171, 9579, 4476, 6978, 34, 26, 0, 102949,  1*
53, 57.1, 5463, 24866, 4948, 9883, 3085, 3422, 2973, 2925, 26, 13, 0, 57565,  1*
54, 58.2, 33444, 118252, 4407, 10325, 6570, 10510, 3200, 4227, 23, 3, 0, 190935,  1*
55, 59.1, 9601, 39128, 7351, 11628, 2183, 9483, 6681, 2385, 23, 10, 0, 88440,  1*
56, 60.2, 4871, 14673, 8120, 1799, 10350, 21332, 3500, 5062, 60, 10, 1, 69707,  1*
57, 61.2, 8754, 28112, 19442, 8354, 8802, 11152, 6477, 7536, 67, 13, 1, 98629,  1*
58, 62.1, 6439, 14970, 4155, 1949, 4889, 8899, 4078, 2782, 88, 20, 1, 48161,  1*
59, 63.2, 4350, 19682, 10035, 9949, 1983, 7695, 2479, 2265, 91, 26, 1, 58438,  1*
60, 64.2, 7444, 15874, 3117, 6033, 10422, 9078, 9129, 5446, 81, 27, 0, 66543,  1*
61, 65.2, 4724, 14993, 2202, 4032, 20616, 4332, 8634, 4749, 81, 13, 0, 64282,  1*
62, 66.2, 3723, 9026, 18072, 2941, 4724, 7349, 4760, 2311, 77, 30, 1, 52906,  1*
63, 67.1, 18536, 23425, 21072, 16878, 6595, 4873, 5235, 2516, 64, 37, 1, 99130,  1*
64, 68.2, 4260, 45055, 11771, 16622, 7007, 6261, 1543, 5400, 50, 43, 0, 97919,  1*
65, 69.1, 28472, 37328, 13353, 15932, 4418, 4951, 3353, 2172, 37, 57, 0, 109979,  1*
66, 70.1, 38639, 15865, 15967, 38292, 23765, 5208, 3544, 2418, 23, 61, 0, 143698,  1*
67, 71.2, 52645, 57190, 18466, 20958, 4060, 6928, 6127, 2568, 21, 54, 0, 168942,  1*
68, 72.1, 17880, 36388, 11229, 16432, 4930, 7361, 3719, 2725, 24, 56, 0, 100664,  1*
69, 73.1, 9523, 14126, 11042, 1234, 4158, 6959, 3185, 3109, 41, 53, 1, 53336,  1*
70, 74.2, 38968, 10465, 26929, 12296, 5729, 5130, 3795, 2098, 44, 56, 1, 105410,  1*
71, 75.0, 6217, 10854, 26244, 4777, 12320, 4155, 5000, 3255, 48, 66, 1, 72822,  1*
72, 76.2, 6428, 29114, 30085, 5267, 5522, 8790, 5906, 4870, 50, 69, 1, 95982,  1*
73, 77.1, 19260, 14031, 11077, 924, 11204, 2354, 8462, 5453, 38, 67, 1, 72765,  1*
74, 79.1, 11475, 9591, 6736, 6505, 3137, 6421, 1766, 3135, 50, 56, 1, 48766,  1*
75, 80.1, 6312, 4974, 17822, 6364, 10766, 16060, 4526, 2617, 64, 51, 1, 69441,  1*
76, 81.1, 201128, 32541, 5904, 2422, 9808, 12082, 4331, 5707, 78, 41, 1, 273923,  1*
77, 82.1, 28308, 14949, 10738, 12532, 892, 4265, 5992, 2678, 67, 48, 0, 80354,  1*
78, 83.0, 75683, 102012, 60048, 8477, 19279, 5885, 4766, 2995, 54, 43, 1, 279145,  1*
79, 85.1, 12625, 3271, 12130, 17013, 9106, 8353, 8305, 3452, 48, 50, 0, 74255,  1*
80, 86.0, 191666, 119648, 15657, 23748, 6600, 5068, 6124, 6030, 23, 50, 0, 374541,  1*
81, 87.1, 7203, 4594, 10228, 14891, 1415, 11565, 3089, 1963, 51, 60, 0, 54948,  1*
82, 88.1, 44073, 18313, 6269, 10956, 16573, 15396, 3728, 1303, 57, 44, 0, 116611,  1*
83, 89.2, 33439, 18868, 8570, 2265, 5207, 3456, 8717, 2819, 54, 38, 1, 83341,  1*
84, 90.1, 30936, 39204, 23128, 5829, 12173, 14036, 5418, 4099, 77, 44, 1, 134823,  1*
85, 91.0, 42185, 20987, 2143, 6337, 12809, 4413, 2688, 3546, 64, 24, 0, 95108,  1*
86, 92.1, 16463, 10936, 31908, 12421, 3506, 8104, 2707, 5004, 53, 43, 1, 91049,  1*
87, 93.1, 23582, 13243, 18975, 23702, 4124, 12511, 5371, 4521, 60, 56, 0, 106029,  1*
88, 94.1, 26845, 28957, 15021, 21785, 5053, 8427, 4974, 3108, 54, 63, 0, 114170,  1*
89, 95.1, 11002, 7542, 10187, 10637, 4627, 6951, 8272, 2861, 61, 80, 0, 62079,  1*
90, 96.0, 10904, 14568, 27010, 9623, 4693, 10920, 7228, 2190, 64, 77, 1, 87136,  1*
91, 97.1, 18866, 30835, 1564, 6022, 15609, 7276, 7764, 7439, 63, 50, 0, 95375,  1*
92, 98.1, 334315, 32939, 5977, 13770, 13051, 5422, 4096, 4826, 61, 41, 0, 414396,  1*
93, 99.0, 9532, 34764, 15569, 5971, 6106, 10825, 6508, 2879, 57, 30, 1, 92154,  1*
94, 100.1, 6410, 28731, 10685, 5831, 3478, 7979, 2658, 3594, 56, 21, 1, 69366,  1*
95, 101.0, 4253, 17379, 4302, 2466, 3312, 5053, 7687, 2664, 56, 27, 1, 47116,  1*
96, 103.0, 25056, 32020, 8137, 7777, 4844, 7181, 3811, 4428, 61, 27, 1, 93254,  1*
97, 104.0, 4211, 47534, 11378, 11916, 7179, 7865, 3434, 3154, 50, 23, 0, 96671,  1*
98, 105.1, 10141, 83880, 4160, 4823, 6807, 5175, 8540, 2919, 35, 11, 0, 126445,  1*
99, 106.1, 7557, 55128, 3336, 9239, 7796, 13807, 11209, 6428, 38, 1, 0, 114500,  1*
100, 107.1, 10856, 41870, 1500, 6445, 8655, 7730, 5719, 3678, 43, 1, 0, 86453,  1*
101, 108.0, 10028, 23589, 1345, 10488, 5057, 3958, 1730, 5769, 43, 1, 0, 61964,  1*
102, 109.0, 558748, 333741, 25364, 37038, 68690, 10446, 13506, 3868, 34, 1, 0, 1051401,  1*
103, 110.0, 266509, 44605, 47418, 6257, 14610, 11147, 13138, 4475, 27, 14, 1, 408159,  1*
104, 111.0, 6197, 18312, 5855, 8979, 8694, 7520, 7182, 2093, 29, 26, 0, 64832,  1*
105, 112.0, 125981, 67683, 4749, 11465, 19705, 6759, 8338, 2827, 26, 20, 0, 247507,  1*
106, 113.1, 18320, 20898, 11100, 14126, 14545, 10744, 7268, 4958, 51, 34, 0, 101959,  1*
107, 114.0, 12883, 71928, 10286, 8084, 1674, 7035, 12170, 9838, 47, 20, 1, 133898,  1*
