obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 60.4, 63818, 14625, 23975, 11634, 11416, 4542, 3356, 2668, 17, 84, 1, 136034,  1*
57, 61.4, 13480, 12739, 12375, 25818, 9295, 16180, 4782, 3909, 34, 83, 0, 98578,  1*
58, 62.3, 8005, 39334, 23182, 28844, 8608, 7016, 4772, 3937, 27, 81, 0, 123698,  1*
59, 63.4, 36334, 28284, 9491, 5746, 7339, 7792, 3776, 3383, 54, 60, 1, 102145,  1*
60, 64.3, 3976, 11088, 32718, 39516, 6360, 6517, 2169, 3051, 51, 69, 0, 105395,  1*
61, 66.4, 134815, 43591, 10765, 65017, 5107, 12012, 3991, 2498, 38, 70, 0, 277796,  1*
62, 67.3, 23931, 19024, 23981, 5598, 1763, 7052, 2918, 5541, 47, 80, 1, 89808,  1*
63, 68.4, 8594, 20488, 7996, 44917, 15755, 7483, 4208, 4613, 50, 69, 0, 114054,  1*
64, 69.3, 20106, 51359, 16646, 26580, 17578, 5067, 3955, 1544, 43, 61, 0, 142835,  1*
65, 70.4, 23070, 4060, 22664, 15120, 11398, 6979, 7803, 7672, 41, 70, 1, 98766,  1*
66, 71.4, 9493, 9136, 10252, 9671, 5094, 7303, 7726, 2059, 48, 69, 1, 60734,  1*
67, 72.3, 12301, 15520, 5872, 4716, 6695, 9255, 965, 3600, 63, 57, 1, 58924,  1*
68, 73.4, 14447, 48519, 10942, 12235, 7931, 8478, 3648, 5454, 74, 53, 0, 111654,  1*
69, 74.3, 23290, 19092, 36315, 7846, 16082, 3517, 7933, 4168, 60, 48, 1, 118243,  1*
70, 75.3, 397758, 32238, 56915, 25367, 14134, 3587, 5978, 5041, 37, 54, 1, 541018,  1*
71, 76.4, 8008, 32704, 51194, 17214, 10854, 6602, 2389, 3146, 16, 67, 1, 132111,  1*
72, 77.3, 17843, 16301, 37501, 9526, 7493, 6877, 2134, 2567, 13, 83, 1, 100242,  1*
73, 78.2, 3131, 11367, 9787, 6892, 11908, 5929, 2580, 1639, 29, 77, 1, 53233,  1*
74, 79.3, 4892, 11387, 16736, 13849, 3518, 4062, 2044, 2514, 41, 77, 1, 59002,  1*
75, 80.2, 3841, 8070, 85597, 76875, 9175, 5539, 2448, 3288, 34, 88, 1, 194833,  1*
76, 81.4, 41510, 25044, 1405, 58280, 7715, 5817, 4823, 5828, 27, 87, 0, 150422,  1*
77, 82.3, 5746, 7630, 36558, 14192, 17400, 5247, 6234, 5674, 17, 96, 1, 98681,  1*
78, 83.2, 4328, 9515, 10598, 33727, 3328, 6639, 2860, 2238, 20, 97, 0, 73233,  1*
79, 84.3, 5126, 16910, 3700, 2130, 30851, 3857, 4373, 3327, 40, 60, 1, 70274,  1*
80, 85.3, 12477, 19144, 7253, 2606, 1453, 7127, 3889, 4443, 54, 47, 1, 58392,  1*
81, 86.3, 11741, 11596, 36607, 4486, 7463, 4961, 3895, 2606, 54, 48, 1, 83355,  1*
82, 87.3, 1178, 7803, 18611, 11389, 3654, 7581, 1678, 1332, 61, 44, 1, 53226,  1*
83, 88.2, 107329, 100010, 123059, 32822, 8585, 6922, 2454, 1354, 40, 66, 1, 382535,  1*
84, 90.3, 30083, 26176, 38359, 3638, 5189, 5955, 2208, 1522, 27, 78, 1, 113130,  1*
85, 91.2, 7591, 8983, 9974, 4687, 9434, 10875, 3537, 2363, 43, 63, 1, 57444,  1*
86, 92.3, 6452, 31664, 19153, 14327, 17129, 7161, 1938, 2925, 57, 57, 1, 100749,  1*
87, 93.2, 9206, 17821, 45543, 17500, 7074, 8056, 3551, 2986, 61, 63, 1, 111737,  1*
88, 94.3, 6067, 10280, 7914, 17207, 12949, 6288, 3918, 1201, 63, 57, 0, 65824,  1*
89, 95.3, 27412, 38278, 27017, 6531, 4754, 7727, 3424, 2508, 48, 61, 1, 117651,  1*
90, 96.2, 5244, 5103, 12019, 4981, 3232, 11529, 3207, 1097, 66, 64, 1, 46412,  1*
