obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.5, 1170731, 46115, 40873, 29873, 24760, 37171, 31639, 8206, 84, 47, 1, 1389368,  2*
2, 2.4, 126697, 8380, 2564, 2187, 5047, 7539, 6923, 3168, 74, 48, 1, 162505,  2*
3, 3.5, 35847, 26880, 19012, 18552, 25652, 35762, 19718, 24582, 70, 47, 1, 206005,  2*
4, 5.9, 64126, 44311, 59475, 19532, 6894, 7740, 6417, 5894, 53, 61, 1, 214389,  2*
5, 6.7, 106326, 88388, 43861, 7667, 21585, 24317, 25457, 5714, 29, 54, 1, 323315,  2*
6, 6.9, 826817, 17440, 8829, 13648, 15045, 13410, 13331, 3792, 26, 54, 0, 912312,  2*
7, 7.5, 826817, 17440, 8829, 13648, 15045, 13410, 13331, 3792, 26, 54, 0, 912312,  2*
8, 8.4, 113408, 62020, 31532, 5285, 8198, 14102, 5846, 8798, 34, 44, 1, 249189,  2*
9, 8.6, 99023, 28685, 16734, 17658, 7485, 6399, 3892, 2085, 34, 56, 0, 181961,  2*
10, 9.6, 99023, 28685, 16734, 17658, 7485, 6399, 3892, 2085, 34, 56, 0, 181961,  2*
11, 10.5, 11587, 6803, 5993, 3621, 7197, 6877, 5967, 3928, 41, 60, 1, 51973,  2*
12, 11.9, 37595, 13680, 1754, 10323, 9059, 15120, 13925, 3813, 47, 54, 0, 105269,  2*
13, 14.0, 13897, 9748, 14129, 6276, 4298, 4770, 3576, 5348, 48, 63, 1, 62042,  2*
14, 15.5, 15338, 23252, 5945, 7965, 4086, 6344, 7160, 5100, 41, 67, 0, 75190,  2*
15, 15.7, 507921, 15562, 11769, 6313, 9217, 9162, 11411, 2944, 26, 56, 1, 574299,  2*
16, 16.5, 507921, 15562, 11769, 6313, 9217, 9162, 11411, 2944, 26, 56, 1, 574299,  2*
17, 17.6, 373052, 88516, 39753, 38820, 16441, 6446, 3165, 3783, 16, 50, 1, 569976,  2*
18, 17.7, 59782, 25676, 27979, 51605, 10044, 15774, 3099, 5118, 16, 61, 0, 199077,  2*
19, 19.7, 59782, 25676, 27979, 51605, 10044, 15774, 3099, 5118, 16, 61, 0, 199077,  2*
20, 20.6, 97879, 96916, 24003, 26638, 12838, 18815, 11315, 3180, 8, 57, 0, 291584,  2*
21, 22.5, 24651, 71990, 35940, 18001, 23610, 9476, 3067, 3345, 13, 54, 1, 190080,  2*
22, 22.5, 82640, 28061, 25266, 3003, 3113, 8403, 6086, 7006, 24, 61, 1, 163578,  2*
23, 23.4, 82640, 28061, 25266, 3003, 3113, 8403, 6086, 7006, 24, 61, 1, 163578,  2*
24, 25.4, 80379, 33924, 31685, 35006, 5587, 5549, 2959, 4189, 16, 75, 0, 199278,  2*
25, 26.4, 50177, 19489, 6742, 4004, 7907, 2934, 3798, 1674, 8, 57, 1, 96725,  2*
26, 27.5, 15819, 10550, 10790, 10264, 3000, 2573, 3211, 2704, 1, 63, 1, 58911,  2*
27, 28.4, 11226, 9391, 6633, 6605, 5578, 1977, 3514, 964, 7, 56, 1, 45888,  2*
28, 29.5, 58864, 48306, 10618, 17127, 10474, 7023, 2131, 1345, 11, 64, 0, 155888,  2*
29, 30.5, 7745, 32863, 8500, 2690, 10904, 2504, 5071, 1488, 7, 60, 1, 71765,  2*
30, 31.3, 165172, 42099, 31300, 15320, 9689, 5988, 5699, 1900, 4, 56, 1, 277167,  2*
31, 32.5, 45293, 18546, 46278, 17854, 7956, 11671, 3584, 1724, 10, 63, 1, 152906,  2*
32, 33.4, 7522, 7995, 16576, 2426, 2972, 4953, 2240, 2267, 14, 75, 1, 46951,  2*
33, 34.5, 14273, 15878, 23713, 4513, 11592, 2656, 3589, 4568, 16, 87, 1, 80782,  2*
34, 35.5, 18547, 38276, 12939, 15067, 10385, 7504, 2546, 3953, 20, 83, 0, 109217,  2*
35, 36.4, 111558, 31059, 26004, 66179, 8003, 8050, 4531, 2782, 13, 84, 0, 258166,  2*
36, 37.4, 20899, 10672, 9974, 15145, 1841, 10256, 3083, 2900, 17, 83, 0, 74770,  2*
37, 38.4, 41057, 22682, 18436, 15510, 12658, 11026, 5004, 2342, 27, 81, 1, 128715,  2*
38, 39.4, 11962, 12770, 6375, 13799, 9697, 7448, 4859, 4716, 34, 84, 0, 71626,  2*
39, 40.4, 92116, 52910, 18695, 18627, 4937, 4972, 10182, 3295, 30, 74, 1, 205734,  2*
40, 41.4, 12369, 9985, 10580, 7977, 5805, 6679, 8765, 3630, 30, 70, 1, 65790,  2*
41, 43.5, 17929, 10075, 14245, 14165, 12913, 10427, 4233, 2392, 34, 70, 1, 86379,  2*
42, 44.3, 794233, 30437, 16702, 29795, 7676, 8144, 3787, 4141, 44, 77, 0, 894915,  2*
43, 45.4, 14158, 13772, 19709, 5397, 7860, 8863, 4136, 2702, 43, 75, 1, 76597,  2*
44, 46.4, 9857, 34644, 8506, 10372, 5983, 4236, 3242, 2091, 34, 69, 0, 78931,  2*
45, 47.4, 10620, 6302, 5617, 11925, 6232, 4834, 5514, 2578, 27, 75, 0, 53622,  2*
46, 48.4, 7266, 7272, 23873, 9382, 5880, 6107, 5844, 1638, 30, 80, 1, 67262,  2*
47, 49.4, 4912, 3366, 13375, 2100, 3596, 5693, 2162, 2364, 35, 83, 1, 37568,  2*
48, 50.4, 11021, 6630, 20035, 7945, 7128, 3948, 2202, 4365, 38, 93, 1, 63274,  2*
49, 51.3, 24325, 18712, 27872, 1873, 6746, 8140, 5551, 3072, 38, 91, 1, 96291,  2*
50, 52.3, 159789, 43373, 59233, 30713, 5212, 8376, 5517, 2490, 29, 90, 1, 314703,  2*
51, 53.4, 21792, 16834, 10876, 13907, 5043, 4962, 8813, 2431, 21, 87, 0, 84658,  2*
52, 54.4, 9810, 8672, 14058, 13597, 6698, 4038, 4725, 2580, 21, 84, 1, 64178,  2*
53, 55.4, 4674, 23829, 2964, 9561, 9414, 4795, 3535, 2493, 17, 77, 0, 61265,  2*
54, 56.4, 1526, 4523, 7066, 1049, 6152, 4886, 7397, 3199, 35, 66, 1, 35798,  2*
55, 57.3, 4152, 4107, 9465, 5760, 3967, 8252, 3508, 903, 48, 66, 1, 40114,  2*
56, 58.4, 7059, 15476, 14972, 12403, 5015, 5173, 2821, 2859, 50, 64, 1, 65778,  2*
57, 59.3, 2520, 13873, 20831, 2139, 5086, 8444, 1904, 1841, 54, 75, 1, 56638,  2*
58, 60.2, 6248, 16641, 1373, 13462, 3835, 4544, 5684, 3428, 44, 77, 0, 55215,  2*
59, 61.4, 13838, 7161, 24212, 19227, 5028, 5614, 5929, 5648, 30, 84, 1, 86657,  2*
60, 62.3, 33771, 58838, 53905, 10786, 13028, 12995, 5997, 3260, 27, 81, 1, 192580,  2*
61, 63.4, 8499, 12432, 13582, 5704, 3094, 4858, 5076, 1743, 24, 83, 1, 54988,  2*
62, 64.3, 9624, 3139, 50372, 1543, 4452, 7870, 2390, 3036, 24, 100, 1, 82426,  2*
63, 65.3, 19843, 10199, 6804, 9471, 3429, 5931, 3165, 3163, 34, 90, 0, 62005,  2*
64, 67.3, 8243, 8227, 15123, 23107, 11364, 6022, 3734, 3418, 35, 96, 0, 79238,  2*
65, 68.2, 10802, 7538, 13424, 16819, 10920, 4865, 2168, 6873, 37, 87, 0, 73409,  2*
66, 69.3, 6546, 8495, 13683, 5087, 6789, 6102, 1538, 3088, 35, 88, 1, 51328,  2*
67, 70.3, 3447, 20872, 2272, 4711, 9119, 8054, 3797, 2638, 43, 66, 0, 54910,  2*
68, 72.3, 4247, 18986, 8549, 11204, 4183, 12247, 1875, 3268, 48, 61, 0, 64559,  2*
69, 73.2, 34638, 15004, 16276, 14486, 6485, 4985, 5077, 2874, 43, 61, 1, 99825,  2*
70, 74.3, 16380, 14714, 11694, 7498, 3449, 7054, 2724, 2850, 38, 77, 1, 66363,  2*
71, 75.3, 6359, 10870, 12843, 5294, 12269, 4740, 2852, 2770, 34, 78, 1, 57997,  2*
72, 76.4, 14212, 29128, 5835, 15123, 7024, 4386, 8158, 6628, 27, 74, 0, 90494,  2*
73, 77.3, 13458, 15774, 6145, 8581, 8312, 3558, 8438, 7805, 27, 64, 0, 72071,  2*
74, 78.2, 13731, 2901, 2101, 3873, 4583, 4539, 4395, 4315, 38, 60, 0, 40438,  2*
75, 79.3, 131000, 124886, 7248, 21946, 11754, 9315, 9927, 5903, 27, 50, 0, 321979,  2*
76, 80.2, 8713, 31798, 10179, 13423, 6891, 4840, 3903, 2513, 27, 50, 0, 82260,  2*
77, 81.2, 6663, 4220, 365, 22125, 8133, 8067, 3998, 2658, 38, 56, 0, 56229,  2*
78, 82.3, 9322, 12094, 12200, 4086, 3012, 3108, 2820, 1879, 23, 61, 1, 48521,  2*
79, 83.2, 459791, 9192, 9348, 14316, 11343, 6765, 7777, 2155, 35, 75, 0, 520687,  2*
80, 84.2, 23273, 25236, 18618, 25399, 2516, 5267, 6497, 4889, 34, 83, 0, 111695,  2*
81, 85.3, 13075, 35617, 2266, 3548, 10855, 5962, 6133, 4578, 24, 61, 0, 82034,  2*
82, 86.2, 15332, 9922, 11009, 13767, 3366, 5908, 4777, 2821, 27, 64, 0, 66902,  2*
83, 87.3, 8091, 10846, 6025, 21337, 8282, 3855, 1753, 2949, 23, 67, 0, 63138,  2*
84, 88.2, 6305, 4832, 23347, 7806, 6547, 6871, 3687, 2186, 30, 70, 1, 61581,  2*
85, 90.2, 19510, 13221, 13832, 17454, 2426, 6608, 5440, 2641, 34, 96, 0, 81132,  2*
86, 91.2, 23319, 19930, 792, 8457, 12304, 6856, 6345, 3265, 50, 63, 0, 81268,  2*
87, 92.3, 4471, 17509, 6291, 3144, 7939, 6278, 3766, 9176, 51, 47, 1, 58574,  2*
88, 93.2, 22474, 21863, 9721, 9767, 10547, 3231, 7202, 3215, 44, 37, 0, 88020,  2*
89, 94.2, 24240, 35435, 7964, 19511, 14871, 7140, 4784, 4564, 30, 44, 0, 118509,  2*
90, 96.2, 19335, 32428, 58783, 6956, 9660, 12739, 5025, 2283, 26, 60, 1, 147209,  2*
91, 97.1, 6155, 8119, 6530, 6611, 3019, 1867, 2596, 3437, 23, 70, 0, 38334,  2*
92, 98.2, 6984, 6890, 1190, 2176, 7088, 4854, 2833, 3831, 37, 61, 0, 35846,  2*
93, 99.1, 59273, 42492, 2633, 10500, 6678, 4258, 3668, 2186, 30, 44, 0, 131688,  2*
94, 100.2, 6549, 6970, 6830, 23246, 5823, 6534, 4481, 2190, 34, 56, 0, 62623,  2*
95, 101.2, 8113, 13448, 20215, 11325, 7609, 3617, 2051, 2649, 34, 57, 1, 69027,  2*
96, 102.1, 311906, 6870, 3433, 2926, 1744, 1627, 986, 1282, 21, 69, 1, 330774,  2*
97, 103.3, 8007, 18843, 20225, 4109, 4240, 3380, 4393, 6556, 21, 83, 1, 69753,  2*
98, 104.2, 6299, 6142, 12785, 1286, 3152, 6458, 9022, 6310, 27, 78, 1, 51454,  2*
99, 105.2, 13160, 8279, 26295, 6043, 5826, 6509, 4742, 4869, 34, 80, 1, 75723,  2*
100, 106.2, 12077, 3560, 19365, 15941, 5941, 7254, 1449, 2945, 38, 91, 1, 68532,  2*
101, 107.1, 14481, 31442, 16016, 9640, 6879, 7816, 4498, 3428, 43, 87, 1, 94200,  2*
102, 108.2, 5067, 5162, 9587, 14328, 3377, 6301, 7149, 3006, 40, 91, 0, 53977,  2*
103, 109.1, 33688, 48872, 52059, 22628, 7573, 3427, 2831, 3135, 21, 90, 1, 174213,  2*
104, 110.1, 10605, 4461, 7610, 12597, 4828, 5188, 4120, 3499, 23, 87, 0, 52908,  2*
105, 111.2, 6112, 2261, 2337, 3729, 4959, 5059, 3497, 1385, 35, 84, 0, 29339,  2*
106, 112.1, 3523, 6467, 4084, 7388, 5674, 10221, 4668, 965, 44, 75, 0, 42990,  2*
107, 114.2, 19440, 2418, 8563, 7856, 2246, 3957, 4334, 3510, 64, 80, 1, 52324,  2*
108, 115.1, 12664, 48519, 8374, 2826, 7182, 5429, 9687, 5280, 53, 63, 1, 99961,  2*
109, 116.2, 31404, 11779, 4140, 3459, 9435, 7497, 7254, 1682, 50, 54, 1, 76650,  2*
110, 117.1, 18401, 6596, 5635, 11994, 5955, 8104, 5035, 7571, 54, 47, 0, 69291,  2*
111, 118.2, 2407, 12159, 3150, 8892, 7637, 12480, 8749, 5109, 57, 41, 0, 60583,  2*
112, 119.1, 16062, 7175, 7346, 5196, 10687, 6887, 7857, 4024, 70, 51, 1, 65234,  2*
113, 120.1, 1024, 7461, 6023, 9001, 1205, 7004, 3376, 4060, 69, 63, 0, 39154,  2*
114, 121.2, 15293, 11359, 2507, 6568, 4596, 12939, 4560, 5996, 75, 53, 0, 63818,  2*
115, 122.1, 24660, 24553, 17813, 9880, 10257, 5196, 6507, 4276, 60, 60, 1, 103142,  2*
116, 123.1, 47489, 10970, 15938, 7473, 8342, 7165, 3261, 2930, 53, 66, 1, 103568,  2*
117, 124.2, 33779, 12259, 8050, 18917, 1180, 9725, 5546, 3063, 51, 67, 0, 92519,  2*
118, 125.1, 7614, 6984, 12446, 52826, 4714, 4739, 4550, 3700, 29, 93, 0, 97573,  2*
119, 126.1, 12232, 11784, 11235, 15248, 7587, 6904, 2935, 4206, 35, 96, 0, 72131,  2*
120, 127.1, 2207988, 205434, 109947, 28099, 10251, 10395, 29176, 7633, 16, 93, 1, 2608923,  2*
121, 128.0, 10585, 27477, 16828, 5840, 4378, 9230, 3463, 4575, 14, 84, 1, 82376,  2*
122, 129.2, 9406, 15473, 20491, 8251, 4052, 5753, 3633, 1709, 21, 75, 1, 68768,  2*
123, 130.1, 3823, 6852, 16220, 24907, 5842, 4362, 2497, 1960, 14, 83, 0, 66463,  2*
124, 131.0, 12864, 5161, 4641, 14447, 5777, 7196, 4682, 4650, 38, 88, 0, 59418,  2*
125, 132.1, 455389, 23848, 6696, 6882, 8390, 9343, 5345, 4237, 40, 83, 0, 520130,  2*
126, 133.1, 44758, 10694, 11880, 12825, 10388, 10648, 6846, 8626, 48, 78, 0, 116665,  2*
127, 134.1, 299052, 68369, 8043, 3627, 12794, 11975, 6926, 2695, 51, 50, 1, 413481,  2*
128, 135.1, 78167, 83211, 16994, 12229, 12290, 9117, 4906, 4097, 38, 38, 1, 221011,  2*
129, 136.0, 95508, 15963, 9067, 5009, 11220, 2894, 1271, 1345, 29, 41, 1, 142277,  2*
130, 138.1, 11968, 14367, 10963, 27202, 29020, 4605, 14596, 4029, 17, 41, 0, 116750,  2*
131, 139.0, 2780, 8004, 6181, 753, 10212, 3876, 5504, 3149, 29, 51, 1, 40459,  2*
132, 140.1, 3363, 19024, 13624, 9418, 4268, 5910, 2538, 5396, 34, 56, 1, 63541,  2*
133, 141.0, 13966, 11383, 21328, 7195, 3245, 8638, 7720, 4018, 41, 60, 1, 77493,  2*
134, 143.1, 558, 14866, 11540, 4750, 3199, 13404, 4096, 4993, 51, 64, 1, 57406,  2*
135, 144.0, 13674, 34578, 20928, 10485, 7088, 14516, 13411, 4905, 57, 75, 1, 119585,  2*
136, 145.1, 395557, 51611, 9217, 14440, 5729, 6748, 6073, 4572, 48, 63, 0, 493947,  2*
137, 146.0, 7452, 61187, 30074, 13649, 3675, 3122, 5359, 2694, 23, 64, 1, 127212,  2*
138, 147.1, 2506, 17595, 20919, 6408, 9006, 16017, 8868, 7051, 24, 57, 1, 88370,  2*
139, 148.1, 4558, 11350, 11581, 7472, 7645, 13834, 7549, 6664, 34, 57, 1, 70653,  2*
140, 149.0, 456885, 27254, 28358, 41902, 21176, 11091, 8352, 9684, 35, 69, 0, 604702,  2*
141, 150.1, 6228, 53123, 14296, 36702, 9522, 7565, 4299, 3048, 43, 70, 0, 134783,  2*
142, 151.0, 10710, 23833, 17531, 9666, 6317, 16145, 5070, 7414, 41, 69, 1, 96686,  2*
143, 152.0, 2392, 8108, 26253, 7757, 15717, 20899, 2925, 4694, 43, 75, 1, 88745,  2*
144, 153.1, 5578, 9532, 3619, 19208, 4424, 4830, 4415, 1766, 44, 75, 0, 53372,  2*
145, 154.0, 4631, 24559, 4971, 14184, 4201, 7007, 3767, 5262, 53, 70, 0, 68582,  2*
146, 154.9, 10521, 33921, 10258, 43502, 10659, 15643, 4443, 3287, 48, 77, 0, 132234,  2*
147, 156.0, 11410, 19508, 6618, 8665, 6742, 5915, 3710, 6783, 37, 69, 0, 69351,  2*
148, 156.9, 25285, 3806, 9671, 12075, 3759, 5976, 3151, 2839, 41, 74, 0, 66562,  2*
149, 158.1, 4790, 5464, 4244, 6797, 7242, 6721, 3170, 6383, 50, 74, 0, 44811,  2*
150, 159.0, 6933, 25651, 11000, 11374, 12662, 5002, 1669, 4638, 43, 66, 0, 78929,  2*
151, 161.0, 8043, 17582, 14154, 18811, 14727, 6818, 5875, 2842, 41, 74, 0, 88852,  2*
152, 162.0, 7293, 29624, 6823, 6879, 7877, 3769, 11942, 3807, 30, 53, 0, 78014,  2*
153, 163.0, 17198, 19143, 55390, 9948, 7347, 10655, 2706, 7281, 34, 64, 1, 129668,  2*
154, 164.0, 15817, 6193, 25099, 6789, 8493, 4301, 6918, 3534, 30, 69, 1, 77144,  2*
155, 164.9, 3712, 14682, 4828, 12197, 5150, 8419, 2156, 2276, 29, 77, 0, 53420,  2*
156, 166.9, 20339, 4391, 15974, 14029, 5928, 8864, 10292, 4769, 40, 91, 1, 84586,  2*
157, 167.9, 10348, 36528, 2271, 11966, 6636, 7645, 8824, 4360, 40, 60, 0, 88578,  2*
158, 169.1, 8361, 26792, 1924, 20342, 5607, 13572, 2476, 2874, 40, 56, 0, 81948,  2*
159, 169.9, 3404, 4224, 4413, 1362, 12733, 3761, 4886, 3255, 44, 40, 1, 38038,  2*
160, 171.0, 16316, 23290, 2563, 15562, 2613, 3695, 10078, 9544, 43, 41, 0, 83661,  2*
161, 172.0, 14269, 32701, 24643, 27461, 7504, 5194, 4296, 5411, 35, 54, 0, 121479,  2*
162, 172.9, 10551, 21912, 11030, 15107, 6503, 5380, 1927, 2841, 26, 60, 0, 75251,  2*
163, 174.0, 17674, 23324, 5439, 14551, 4913, 5742, 5026, 3417, 16, 66, 0, 80086,  2*
164, 174.9, 9910, 10875, 7336, 5433, 10725, 9821, 6541, 1922, 30, 61, 1, 62563,  2*
165, 176.0, 18689, 12188, 11738, 25000, 5204, 7298, 4789, 3263, 40, 64, 0, 88169,  2*
166, 176.9, 48162, 30754, 32098, 11415, 7473, 12135, 6609, 2824, 43, 66, 1, 151470,  2*
167, 177.9, 20522, 3376, 8949, 9903, 9053, 17352, 7536, 5108, 60, 67, 0, 81799,  2*
168, 179.0, 7756, 27452, 6084, 8696, 18702, 4274, 3715, 4992, 47, 64, 0, 81671,  2*
169, 179.9, 10706, 23468, 29706, 12969, 15960, 12094, 5489, 6202, 47, 60, 1, 116594,  2*
170, 180.9, 22073, 16948, 6681, 9067, 5061, 7450, 3722, 6370, 51, 56, 0, 77372,  2
171, 182.0, 16823, 11173, 7033, 12617, 2547, 14859, 7890, 2698, 44, 56, 0, 75640,  2
172, 182.9, 18056, 15453, 20900, 12030, 13590, 9237, 7230, 3454, 51, 67, 1, 99950,  2
173, 184.9, 2855, 10658, 5154, 2129, 3463, 8737, 5043, 6353, 63, 57, 1, 44392,  2
174, 185.8, 21989, 28298, 2620, 2898, 4567, 13207, 3800, 2049, 61, 40, 0, 79428,  2
175, 186.9, 61945, 25766, 6537, 7655, 2044, 8860, 10162, 2690, 63, 30, 0, 125659,  2
176, 187.9, 308370, 98683, 18874, 33767, 26930, 8955, 5405, 6193, 41, 34, 0, 507177,  2
177, 189.9, 11699, 6370, 24199, 34452, 15033, 9064, 7035, 4269, 35, 47, 0, 112121,  2
178, 190.9, 30352, 25465, 31278, 7290, 6859, 13506, 7589, 6479, 34, 63, 1, 128818,  2
179, 191.9, 450863, 18981, 22232, 3835, 6452, 11952, 6206, 3292, 48, 67, 1, 523813,  2
180, 191.9, 59219, 27128, 42004, 14164, 7471, 8782, 7264, 5172, 47, 64, 1, 171204,  2
