obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.3, 10896, 8410, 12670, 13023, 7099, 5228, 1824, 5868, 30, 64, 0, 65018,  X*
2, 2.4, 26298, 38434, 58530, 2621, 4573, 4277, 3856, 9537, 8, 66, 1, 148126,  X*
3, 3.4, 376934, 112417, 15598, 23449, 5395, 6208, 7374, 3979, 7, 69, 0, 551354,  X*
4, 4.5, 206532, 7403, 4663, 1060, 2357, 1289, 2711, 1289, 1, 74, 1, 227304,  X*
5, 5.4, 291300, 76928, 12687, 9495, 13286, 7058, 4183, 3886, 1, 63, 1, 418823,  X*
6, 6.3, 31062, 20303, 35681, 14406, 2658, 4005, 3430, 6195, 1, 64, 1, 117740,  X*
7, 7.5, 83446, 105581, 20994, 6494, 9988, 6988, 2225, 3950, 1, 63, 1, 239666,  X*
8, 8.4, 439580, 87746, 63586, 5196, 17803, 5174, 6335, 5028, 1, 63, 1, 630448,  X*
9, 9.5, 228517, 22668, 24283, 12106, 7371, 3369, 3936, 20747, 1, 74, 1, 322997,  X*
10, 10.4, 1465962, 72026, 31859, 41477, 13251, 9753, 5030, 2007, 1, 66, 0, 1641365,  X*
11, 11.4, 655371, 112786, 28507, 11873, 12840, 13064, 4804, 4088, 1, 66, 1, 843333,  X*
12, 12.4, 731268, 367867, 9906, 52542, 33654, 24811, 3667, 12497, 1, 56, 0, 1236212,  X*
13, 13.4, 67862, 37471, 54967, 8470, 6713, 5712, 3070, 2453, 1, 57, 1, 186718,  X*
14, 14.3, 10860, 9744, 2944, 6724, 2998, 6367, 2208, 5573, 16, 56, 0, 47418,  X*
15, 15.4, 17406, 29907, 66030, 3507, 15714, 10360, 5954, 5093, 17, 66, 1, 153971,  X*
16, 16.3, 134157, 41876, 5458, 5047, 2115, 561, 576, 353, 13, 69, 1, 190143,  X*
17, 18.4, 362329, 168376, 17054, 16734, 9331, 5297, 5639, 1804, 14, 57, 1, 586564,  X*
18, 19.3, 207251, 15861, 54423, 25800, 3960, 3664, 3212, 2449, 1, 63, 1, 316620,  X*
19, 20.4, 139571, 13588, 1321, 12499, 14875, 4040, 3012, 4108, 21, 66, 0, 193014,  X*
20, 21.3, 35454, 7658, 3462, 4325, 3709, 4376, 2725, 5406, 43, 70, 0, 67115,  X*
21, 23.4, 43246, 42552, 17317, 19178, 4196, 2847, 5565, 3947, 41, 75, 0, 138848,  X*
22, 24.3, 10588, 5533, 11044, 5718, 11332, 4971, 2683, 1573, 50, 69, 1, 53442,  X*
23, 25.4, 16051, 30685, 6773, 6031, 5511, 5314, 1498, 10450, 41, 66, 1, 82313,  X*
24, 26.3, 7295, 15692, 5238, 8976, 7438, 3630, 1968, 2507, 53, 64, 0, 52744,  X*
