obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 61.8, 41486, 52647, 31818, 10447, 10694, 17325, 10363, 5459, 63, 48, 1, 180239,  1*
57, 62.7, 8163, 8637, 11658, 21821, 8779, 24198, 15264, 8353, 51, 60, 0, 106873,  1*
58, 63.8, 30270, 39283, 1883, 14185, 7572, 32738, 15997, 11953, 64, 47, 0, 153881,  1*
59, 64.7, 5348, 10374, 6148, 13861, 14426, 13302, 7759, 6113, 70, 44, 0, 77331,  1*
60, 65.8, 2605, 5959, 10470, 11274, 8256, 14116, 13604, 6479, 78, 47, 0, 72763,  1*
61, 66.8, 6880, 8883, 5414, 21469, 11736, 12354, 22272, 3718, 75, 47, 0, 92726,  1*
62, 67.7, 24396, 7629, 10176, 28917, 2486, 16032, 8178, 3450, 69, 64, 0, 101264,  1*
63, 68.8, 3578, 34452, 9897, 13972, 9043, 13981, 9416, 7390, 64, 63, 0, 101729,  1*
64, 69.7, 5030, 13859, 8793, 53175, 10660, 15601, 7783, 2744, 57, 69, 0, 117645,  1*
65, 70.8, 3032, 16409, 34707, 8444, 8911, 13188, 6469, 6924, 53, 74, 1, 98084,  1*
66, 71.8, 4227, 5575, 13429, 20110, 2335, 14441, 5012, 5374, 54, 75, 0, 70503,  1*
67, 72.7, 11420, 14679, 4957, 3587, 17572, 28049, 3976, 5389, 67, 64, 1, 89629,  1*
68, 73.7, 10644, 25272, 14165, 14922, 12943, 6999, 7800, 12022, 64, 56, 0, 104767,  1*
69, 74.7, 6404, 4581, 11471, 7652, 9116, 11656, 10405, 6080, 70, 53, 1, 67365,  1*
70, 75.6, 8246, 24128, 6768, 8208, 13286, 10129, 10490, 11445, 67, 37, 0, 92700,  1*
71, 76.7, 3722, 7275, 2218, 18056, 4607, 16866, 6001, 12011, 63, 51, 0, 70756,  1*
72, 77.6, 3262, 10637, 6364, 16904, 9940, 11750, 5842, 4132, 69, 51, 0, 68831,  1*
73, 79.8, 3132, 7064, 5836, 2783, 7362, 12718, 6758, 7538, 75, 43, 1, 53191,  1*
74, 80.6, 48887, 32714, 34100, 9037, 11762, 27693, 12488, 14530, 70, 53, 1, 191211,  1*
75, 81.7, 25040, 14780, 19862, 9810, 5974, 14755, 6102, 7330, 70, 54, 1, 103653,  1*
76, 82.7, 13074, 31400, 15584, 16368, 9503, 13394, 9134, 7419, 61, 60, 0, 115876,  1*
77, 84.7, 9353, 8744, 7413, 9308, 15687, 5831, 4914, 21096, 57, 56, 0, 82346,  1*
78, 85.6, 10092, 6341, 5811, 13837, 3716, 12698, 7550, 4222, 60, 53, 0, 64267,  1*
