obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 60.8, 2046723, 141227, 4330, 17973, 41385, 17456, 22496, 13921, 57, 20, 0, 2305511,  2*
57, 61.7, 211454, 16163, 5547, 2225, 7864, 8690, 6852, 2260, 57, 21, 1, 261055,  2*
58, 63.8, 537759, 39365, 12198, 9797, 7211, 14472, 10051, 11300, 57, 20, 1, 642153,  2*
59, 64.7, 919392, 147096, 27763, 19558, 28096, 32920, 24451, 18784, 67, 29, 1, 1218060,  2*
60, 65.8, 1148875, 260324, 17015, 7529, 24959, 26269, 50237, 11717, 53, 17, 1, 1546925,  2*
61, 66.7, 225701, 68900, 21374, 56786, 20791, 20291, 10059, 12465, 48, 24, 0, 436367,  2*
62, 67.8, 18254, 33693, 8277, 7401, 9004, 16970, 13051, 19764, 40, 21, 1, 126414,  2*
63, 68.7, 6864, 9935, 7261, 64903, 86853, 13091, 7984, 13181, 37, 29, 0, 210072,  2*
64, 69.7, 34801, 10624, 51142, 41297, 10041, 20141, 13733, 8722, 44, 63, 1, 190501,  2*
65, 70.7, 7330, 58589, 33547, 17437, 24262, 16888, 7545, 12115, 47, 60, 1, 177713,  2*
66, 71.7, 10877, 28845, 16791, 4392, 5231, 9493, 13160, 4040, 40, 64, 1, 92829,  2*
67, 72.7, 11558, 5710, 6903, 2209, 2749, 34614, 14375, 4231, 64, 54, 1, 82349,  2*
68, 73.8, 38777, 51235, 15505, 2227, 4772, 12096, 8937, 10224, 61, 35, 1, 143773,  2*
69, 74.7, 23778, 11203, 5304, 29102, 23937, 58786, 9556, 7555, 80, 30, 0, 169221,  2*
70, 75.6, 28731, 21950, 15194, 12535, 12028, 11549, 5627, 4738, 80, 34, 1, 112352,  2*
71, 76.7, 32272, 13162, 17058, 11948, 17759, 24350, 12042, 3990, 66, 41, 1, 132581,  2*
72, 77.6, 15938, 10003, 12107, 24585, 8095, 10032, 4749, 4911, 67, 56, 0, 90420,  2*
73, 78.8, 18270, 7769, 13308, 4594, 9443, 7146, 2999, 4470, 54, 63, 1, 67999,  2*
74, 79.7, 24103, 7099, 1102, 7723, 9429, 8640, 10146, 2496, 61, 57, 0, 70738,  2*
75, 81.7, 40413, 21437, 4913, 42453, 12660, 18767, 9014, 3993, 54, 63, 0, 153650,  2*
76, 82.7, 105690, 9878, 10173, 5233, 2558, 3222, 3215, 1383, 48, 64, 1, 141352,  2*
77, 83.8, 157942, 13340, 4296, 2930, 4197, 5678, 3681, 1968, 41, 63, 1, 194032,  2*
78, 84.7, 163802, 27021, 8032, 22595, 24060, 26806, 23420, 9637, 47, 56, 0, 305373,  2*
79, 85.6, 357720, 58694, 102737, 53134, 19456, 20195, 6653, 6996, 38, 60, 1, 625585,  2*
80, 87.6, 1672, 21750, 14596, 13646, 3809, 9462, 10719, 3312, 43, 56, 1, 78966,  2*
81, 88.6, 5526, 12390, 16584, 4447, 11075, 11693, 10101, 2877, 44, 57, 1, 74693,  2*
82, 89.7, 47572, 37298, 12308, 13167, 7393, 23384, 11118, 12452, 57, 44, 0, 164692,  2*
83, 90.6, 85013, 26987, 23979, 23223, 13538, 13588, 10317, 10036, 56, 47, 1, 206681,  2*
84, 91.8, 3272, 11730, 18011, 6712, 10332, 8208, 9422, 10058, 51, 56, 1, 77745,  2*
85, 92.7, 8842, 41232, 56018, 8250, 11887, 14988, 18413, 3548, 43, 60, 1, 163178,  2*
86, 93.6, 15392, 56015, 35961, 22612, 9069, 17726, 9971, 4335, 37, 66, 1, 171081,  2*
87, 94.7, 11191, 2130, 7903, 3616, 11591, 17053, 10730, 4317, 54, 57, 1, 68531,  2*
88, 95.6, 9149, 2390, 12179, 2545, 10394, 15984, 7918, 5967, 66, 54, 1, 66526,  2*
89, 96.7, 19155, 33847, 18228, 9356, 17706, 19343, 8112, 8937, 74, 47, 1, 134684,  2*
90, 97.7, 13193, 22304, 1714, 6498, 8750, 17190, 5194, 13043, 87, 35, 0, 87886,  2*
91, 98.6, 72463, 8685, 8429, 7689, 2206, 9205, 6996, 6474, 74, 41, 1, 122147,  2*
92, 99.7, 12126, 12446, 15107, 1674, 7512, 13494, 18312, 5579, 67, 43, 1, 86250,  2*
93, 100.6, 70550, 21261, 39786, 20808, 30333, 21594, 9226, 3028, 66, 51, 1, 216586,  2*
94, 101.6, 147567, 63980, 24979, 17004, 23871, 15919, 9036, 2971, 53, 60, 1, 305327,  2*
95, 102.7, 5272, 15824, 10479, 14919, 8250, 18993, 11985, 5609, 56, 57, 0, 91331,  2*
96, 103.6, 14509, 53125, 4739, 13449, 8011, 19885, 10131, 3582, 51, 50, 0, 127431,  2*
97, 104.5, 25584, 44142, 4003, 6685, 4707, 11173, 14738, 2501, 48, 35, 0, 113533,  2*
98, 105.6, 22667, 36904, 10998, 15327, 5797, 15543, 11923, 4642, 53, 35, 0, 123801,  2*
99, 106.6, 15506, 17591, 19159, 6824, 6165, 16216, 3288, 8519, 51, 37, 1, 93268,  2*
100, 107.6, 38574, 31391, 18562, 36682, 13349, 6139, 6851, 4244, 38, 51, 0, 155792,  2*
101, 108.6, 1356, 18637, 1083, 10924, 11662, 12846, 6411, 4222, 44, 54, 0, 67141,  2*
102, 110.6, 10770, 35804, 20885, 11119, 1951, 10658, 14774, 6914, 40, 60, 1, 112875,  2*
103, 111.6, 22250, 46956, 32183, 9603, 9151, 10110, 6441, 5129, 37, 51, 1, 141823,  2*
104, 112.6, 17440, 7130, 6177, 18352, 13173, 5758, 7644, 3826, 29, 63, 0, 79500,  2*
105, 113.6, 4534, 13376, 4013, 7587, 13973, 10609, 8328, 4705, 38, 54, 0, 67125,  2*
106, 114.5, 11666, 8458, 30034, 2335, 13955, 6314, 5115, 10240, 38, 63, 1, 88117,  2*
107, 115.6, 18129, 11306, 19429, 17493, 10904, 5700, 7528, 7069, 40, 70, 1, 97558,  2*
108, 116.5, 20368, 41554, 8281, 7788, 18203, 5569, 8805, 4047, 34, 57, 1, 114615,  2*
109, 117.5, 17569, 6363, 14176, 5110, 7910, 15677, 5435, 8087, 37, 66, 1, 80327,  2*
110, 118.6, 12013, 16404, 7984, 12663, 21134, 10962, 7766, 14302, 41, 57, 0, 103228,  2*
111, 119.5, 9791, 6748, 23639, 13135, 9221, 11162, 14362, 7370, 48, 56, 1, 95428,  2*
112, 120.6, 6636, 17335, 69092, 22374, 15207, 20736, 14135, 10971, 56, 75, 1, 176486,  2*
113, 121.6, 10929, 13043, 27540, 13073, 8464, 9694, 8162, 4421, 43, 81, 1, 95326,  2*
114, 122.5, 5330, 7331, 4942, 15454, 8582, 10676, 12789, 6503, 47, 87, 0, 71607,  2*
115, 123.6, 7775, 14400, 14686, 12675, 22466, 16951, 10614, 6084, 51, 77, 1, 105651,  2*
116, 124.6, 11653, 8341, 11350, 6782, 28617, 9276, 8804, 7111, 57, 63, 1, 91934,  2*
117, 125.6, 19998, 22718, 11081, 4932, 5554, 11698, 7579, 2879, 63, 53, 1, 86439,  2*
118, 126.5, 51507, 21070, 11764, 28581, 17735, 11445, 8730, 8962, 56, 53, 0, 159794,  2*
119, 127.5, 24894, 22662, 6103, 24887, 22170, 18442, 12584, 4671, 54, 53, 0, 136413,  2*
120, 128.5, 36689, 39492, 25923, 25618, 7353, 57051, 12385, 11914, 57, 54, 1, 216425,  2*
121, 129.5, 33050, 18479, 7293, 15369, 6948, 19768, 19697, 6554, 63, 56, 0, 127158,  2*
