obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.9, 11282, 20510, 13397, 16720, 2891, 7486, 5050, 2956, 53, 60, 0, 80292,  1*
2, 2.8, 25717, 47217, 22200, 13055, 3907, 13412, 2653, 1204, 54, 51, 1, 129365,  1*
3, 3.8, 13553, 9999, 9342, 19848, 2990, 3821, 4062, 3498, 47, 60, 0, 67113,  1*
4, 4.9, 71703, 30199, 30691, 38102, 6713, 5983, 9226, 1679, 37, 75, 0, 194296,  1*
5, 5.8, 36154, 143346, 7785, 9946, 6894, 4746, 6224, 6592, 21, 56, 0, 221687,  1*
6, 6.9, 441369, 26204, 2424, 9471, 10653, 9256, 4302, 14361, 26, 50, 0, 518040,  1*
7, 7.8, 137464, 45409, 3377, 4036, 1625, 3142, 1585, 842, 21, 29, 0, 197480,  1*
8, 9.9, 442928, 35133, 22477, 30702, 24286, 11172, 9749, 5723, 29, 21, 0, 582170,  1*
9, 11.0, 42689, 27216, 19852, 44251, 9278, 14100, 5986, 2789, 37, 48, 0, 166161,  1*
10, 11.9, 24720, 30533, 8575, 19455, 13242, 12505, 5544, 2378, 48, 60, 0, 116952,  1*
11, 12.8, 409346, 25420, 16344, 38745, 24369, 19017, 4445, 2049, 54, 60, 0, 539735,  1*
12, 13.8, 2166511, 209679, 41760, 38134, 25054, 25535, 15260, 4191, 51, 56, 1, 2526124,  1*
13, 15.8, 16036, 2712, 17003, 8598, 9415, 7617, 12587, 4801, 56, 56, 1, 78769,  1*
14, 16.7, 561271, 64162, 83567, 13370, 7892, 12715, 1336, 3763, 47, 50, 1, 748076,  1*
15, 17.9, 11444, 12092, 8238, 13511, 2173, 5764, 2533, 3396, 51, 61, 0, 59151,  1*
16, 18.8, 10508, 5275, 19244, 8185, 2625, 8405, 3828, 2768, 51, 63, 1, 60838,  1*
17, 19.9, 5439, 12901, 2896, 5681, 8601, 4316, 3759, 1924, 51, 69, 0, 45517,  1*
18, 20.8, 10453, 11756, 4138, 2374, 3893, 5809, 2811, 3085, 64, 57, 1, 44319,  1*
19, 21.7, 9581, 33958, 9452, 20460, 10050, 13757, 8266, 5979, 67, 51, 0, 111503,  1*
20, 22.8, 5849, 9745, 7985, 8280, 11276, 3893, 9398, 5075, 63, 43, 0, 61501,  1*
21, 23.8, 7999, 7368, 510, 3420, 10030, 8909, 6416, 9817, 75, 37, 0, 54469,  1*
22, 24.8, 3494, 4658, 16016, 17719, 12437, 5825, 11242, 3656, 67, 51, 0, 75047,  1*
23, 25.8, 55017, 84055, 10032, 20435, 12201, 5230, 6647, 3178, 54, 47, 0, 196795,  1*
24, 26.7, 8935, 46023, 1959, 7265, 7707, 5787, 3096, 3797, 50, 34, 0, 84569,  1*
25, 27.8, 4737, 5892, 3316, 4730, 4808, 7395, 4388, 8649, 47, 43, 0, 43915,  1*
26, 28.8, 3198, 3995, 9163, 10731, 4641, 3823, 5258, 1477, 48, 43, 0, 42286,  1*
27, 29.7, 6699, 45263, 10299, 16624, 7848, 7003, 4135, 2315, 53, 47, 0, 100186,  1*
28, 30.8, 4326, 20819, 14558, 11982, 5670, 7826, 6646, 2542, 57, 60, 1, 74369,  1*
29, 31.7, 4290, 14661, 12847, 4497, 6659, 4650, 6769, 4475, 47, 64, 1, 58848,  1*
30, 33.8, 5922, 21365, 4962, 3356, 1305, 5385, 5389, 2367, 48, 50, 1, 50051,  1*
31, 34.7, 22577, 52437, 12366, 26855, 16719, 9962, 2271, 2982, 37, 50, 0, 146169,  1*
32, 35.8, 3665, 13356, 2054, 12300, 3740, 5500, 6687, 6539, 40, 48, 0, 53841,  1*
33, 36.7, 238694, 25098, 3250, 2625, 2449, 2485, 2149, 1374, 30, 43, 1, 278124,  1*
34, 38.7, 816683, 52158, 23506, 766, 7688, 11479, 5209, 6907, 41, 38, 1, 924396,  1*
35, 39.7, 11458, 2805, 17852, 10359, 10284, 18715, 12244, 8174, 57, 40, 1, 91891,  1*
36, 40.8, 16880, 11007, 5613, 16785, 2640, 10588, 6804, 8263, 70, 53, 0, 78580,  1*
37, 41.7, 19044, 5639, 11381, 12567, 4493, 6962, 13478, 8879, 75, 64, 0, 82443,  1*
38, 42.7, 3342, 8406, 4729, 7927, 20517, 10788, 11540, 5659, 83, 63, 0, 72908,  1*
39, 43.8, 72354, 37021, 12189, 22219, 3718, 7033, 3627, 6304, 66, 61, 0, 164465,  1*
40, 44.7, 4759, 37000, 30730, 27123, 9185, 12151, 7714, 5474, 57, 63, 1, 134136,  1*
41, 45.6, 6090, 12380, 10612, 10691, 7186, 21865, 8072, 9919, 66, 54, 0, 86815,  1*
42, 46.8, 2435, 6417, 2830, 13907, 14543, 10401, 7750, 5417, 66, 60, 0, 63700,  1*
43, 47.6, 123554, 14747, 2108, 5007, 6794, 2770, 2947, 2590, 67, 50, 0, 160517,  1*
44, 48.7, 61427, 34298, 6031, 15632, 5564, 22712, 10389, 10294, 80, 40, 0, 166347,  1*
45, 49.7, 28682, 65835, 930, 6355, 15143, 12690, 7191, 8705, 67, 24, 0, 145531,  1*
46, 50.6, 7458, 5403, 32293, 8291, 5990, 6718, 5384, 8686, 57, 37, 1, 80223,  1*
47, 51.7, 4264, 14855, 23409, 15400, 12191, 6234, 21223, 8625, 57, 48, 1, 106201,  1*
48, 52.7, 9314, 23244, 34739, 38863, 5465, 9548, 8688, 4617, 44, 63, 0, 134478,  1*
49, 53.7, 59961, 84398, 15628, 12656, 10312, 7299, 10023, 10511, 37, 75, 1, 210788,  1*
50, 54.7, 23488, 13874, 7808, 2993, 11083, 7687, 9650, 12981, 43, 57, 1, 89564,  1*
51, 55.6, 4239, 44727, 7051, 10902, 13100, 14414, 11498, 6555, 50, 44, 0, 112486,  1*
52, 57.6, 63382, 54212, 13194, 8564, 12321, 9843, 8359, 10774, 51, 27, 1, 180649,  1*
53, 58.6, 16245, 34967, 6790, 6447, 14438, 9897, 8399, 5132, 56, 27, 1, 102315,  1*
54, 59.7, 32658, 57177, 7740, 20774, 25670, 9293, 8759, 7214, 50, 29, 0, 169285,  1*
55, 60.6, 9822, 28056, 2327, 5397, 13403, 5786, 2329, 8110, 51, 26, 0, 75230,  1*
56, 62.7, 51622, 85989, 24746, 11509, 9399, 14474, 8346, 5014, 48, 23, 1, 211099,  1*
57, 63.6, 15586, 4592, 2886, 2157, 16589, 13795, 7190, 6264, 87, 16, 1, 69059,  1*
58, 64.7, 2906, 7265, 5757, 10039, 6103, 6384, 1850, 3557, 91, 30, 0, 43861,  1*
59, 65.6, 4938, 16011, 21697, 14883, 8762, 12414, 8833, 2864, 97, 40, 1, 90402,  1*
60, 66.7, 24915, 54272, 11794, 13072, 6723, 12934, 5579, 4815, 80, 43, 0, 134104,  1*
61, 67.7, 9796, 5131, 6322, 3699, 8431, 8753, 3759, 2063, 70, 53, 1, 47954,  1*
62, 68.6, 16926, 9154, 7474, 12828, 9662, 9100, 9326, 9601, 74, 51, 0, 84071,  1*
63, 69.7, 7600, 17943, 39887, 16545, 2860, 8087, 5910, 4308, 64, 57, 1, 103140,  1*
64, 70.6, 31093, 12692, 32151, 26508, 20642, 5648, 2148, 3899, 57, 74, 1, 134781,  1*
65, 71.6, 6981, 11440, 2127, 10909, 15304, 6095, 6436, 3710, 51, 69, 0, 63002,  1*
66, 72.7, 7533, 12425, 3473, 5156, 10810, 6195, 6231, 8880, 51, 61, 0, 60703,  1*
67, 73.6, 9507, 12446, 4304, 8960, 9745, 4772, 3364, 3221, 56, 50, 0, 56319,  1*
68, 74.5, 6219, 8769, 9054, 19082, 11293, 3046, 8114, 1281, 54, 48, 0, 66858,  1*
69, 75.6, 5898, 21541, 12319, 3149, 11268, 7833, 4369, 3779, 53, 50, 1, 70156,  1*
70, 76.6, 20699, 43204, 13035, 17752, 15859, 8694, 8154, 5159, 44, 53, 0, 132556,  1*
71, 77.6, 31356, 56386, 53713, 10864, 7256, 6924, 4978, 3450, 34, 60, 1, 174927,  1*
72, 78.6, 8224, 9116, 41953, 12086, 2086, 7097, 6211, 2851, 37, 67, 1, 89624,  1*
73, 80.7, 5883, 19170, 3131, 1941, 7821, 9501, 5249, 5805, 43, 57, 1, 58501,  1*
74, 81.6, 21126, 12938, 1392, 16238, 10585, 7936, 5194, 4155, 54, 51, 0, 79564,  1*
75, 82.6, 15630, 19005, 35511, 6885, 15379, 6670, 6039, 7185, 56, 41, 1, 112304,  1*
76, 83.6, 9475, 7246, 2990, 2288, 1205, 5192, 9753, 4408, 56, 51, 1, 42557,  1*
77, 84.5, 6036, 5612, 828, 4293, 5221, 3210, 3392, 4259, 67, 50, 0, 32851,  1*
78, 86.6, 19467, 9472, 7168, 7126, 20285, 8140, 4494, 4348, 69, 47, 1, 80500,  1*
79, 87.5, 23521, 24841, 14417, 18433, 16752, 7659, 3712, 4528, 61, 41, 0, 113863,  1*
80, 88.6, 16421, 7433, 22167, 4254, 8860, 9176, 2765, 5551, 60, 50, 1, 76627,  1*
81, 89.5, 33469, 14625, 14398, 9032, 2904, 3885, 10204, 2167, 48, 60, 1, 90684,  1*
82, 90.6, 27783, 65624, 8128, 10643, 5108, 8171, 3412, 5844, 44, 57, 0, 134713,  1*
