obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 61.6, 178251, 28775, 13084, 4195, 11367, 8723, 4322, 3916, 10, 43, 1, 252633,  2*
57, 62.7, 19839, 28208, 17906, 28652, 13213, 14597, 6458, 3750, 23, 56, 0, 132623,  2*
58, 63.6, 138158, 13503, 35581, 70217, 26696, 8978, 14652, 7265, 30, 83, 0, 315050,  2*
59, 64.7, 1020765, 102475, 1396, 27081, 39723, 25422, 9664, 8353, 38, 64, 0, 1234879,  2*
60, 65.6, 782217, 5821, 7091, 1844, 9464, 5072, 1636, 3253, 43, 66, 1, 816398,  2*
61, 66.5, 584366, 78649, 20182, 43880, 13188, 13566, 18957, 15858, 35, 63, 0, 788646,  2*
62, 67.7, 1136945, 764240, 119858, 266611, 153641, 102464, 81798, 68068, 38, 40, 0, 2693625,  2*
63, 68.6, 3106992, 512493, 125066, 254507, 129192, 109590, 79395, 40845, 30, 54, 0, 4358080,  2*
64, 69.7, 1236795, 757907, 631581, 72198, 102505, 136549, 112700, 171716, 17, 60, 1, 3221951,  2*
65, 70.6, 778379, 45249, 34867, 8774, 7280, 4086, 6538, 4858, 10, 61, 1, 890031,  2*
66, 71.6, 226896, 46606, 23081, 34680, 7245, 5196, 4177, 4222, 3, 77, 0, 352103,  2*
67, 73.6, 944969, 296398, 26406, 27709, 17794, 10808, 26798, 17718, 1, 61, 0, 1368600,  2*
68, 74.5, 231085, 82707, 29016, 18083, 7398, 4586, 8184, 2385, 1, 35, 1, 383444,  2*
69, 75.6, 62986, 24840, 8409, 8726, 6805, 40032, 12170, 15026, 21, 16, 0, 178994,  2*
70, 76.6, 61206, 12922, 6969, 47856, 13799, 24447, 8781, 4846, 50, 41, 0, 180826,  2*
71, 78.6, 9548, 25059, 6585, 7747, 5227, 5673, 8513, 9959, 53, 54, 0, 78311,  2*
72, 79.5, 34151, 53548, 57916, 14583, 13559, 12722, 9095, 3262, 53, 77, 1, 198836,  2*
73, 80.7, 11308, 84915, 22683, 20592, 10346, 13296, 7070, 3415, 40, 63, 1, 173625,  2*
74, 81.6, 11654, 19385, 34534, 19894, 13053, 8090, 13333, 2876, 35, 80, 1, 122819,  2*
75, 82.6, 75165, 89021, 23211, 20696, 18331, 22263, 13313, 10760, 26, 69, 1, 272760,  2*
76, 83.6, 930737, 231356, 44231, 28691, 25003, 24252, 27849, 16664, 23, 53, 1, 1328783,  2*
77, 84.5, 362264, 62611, 14006, 5640, 8421, 2634, 1807, 3826, 10, 48, 1, 461209,  2*
78, 85.6, 1016183, 30904, 40515, 8866, 15230, 32270, 12832, 5124, 26, 38, 1, 1161924,  2*
79, 86.5, 134950, 114373, 89755, 27339, 16638, 8804, 4897, 8400, 10, 51, 1, 405156,  2*
