obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.1, 250201, 117380, 31895, 43315, 10891, 13639, 13059, 7692, 29, 77, 0, 488072,  2*
2, 2.2, 39736, 63341, 21077, 26402, 9241, 9276, 9418, 3269, 34, 57, 0, 181760,  2*
3, 3.1, 154102, 121846, 86346, 14235, 8643, 7351, 7442, 4974, 24, 64, 1, 404939,  2*
4, 4.2, 84193, 70961, 34337, 9054, 5635, 6145, 4894, 1587, 14, 57, 1, 216806,  2*
5, 5.2, 21142, 8866, 13476, 5174, 4251, 3391, 6876, 5321, 20, 64, 1, 68497,  2*
6, 6.1, 256404, 213301, 20214, 20694, 10196, 7179, 6432, 3764, 8, 51, 0, 538184,  2*
7, 7.2, 50956, 46624, 74837, 29607, 12620, 8555, 4930, 6926, 13, 60, 1, 235055,  2*
8, 8.2, 63234, 5273, 688, 2933, 7786, 3704, 1148, 1348, 34, 50, 0, 86114,  2*
9, 9.2, 11330, 13229, 84724, 39115, 7021, 3900, 3280, 1942, 17, 63, 1, 164541,  2*
10, 10.2, 9878, 29252, 847, 12688, 19055, 11142, 10963, 8991, 41, 64, 0, 102816,  2*
11, 11.1, 86053, 104328, 11849, 16894, 19838, 14413, 15543, 4561, 48, 44, 0, 273479,  2*
12, 13.1, 73809, 24901, 34189, 7068, 5905, 21445, 10935, 6957, 43, 56, 1, 185209,  2*
13, 14.1, 107706, 77098, 42660, 34633, 17845, 11270, 8110, 12618, 37, 30, 1, 311940,  2*
14, 15.2, 6086, 18398, 1689, 10670, 8947, 13321, 9303, 9345, 51, 35, 0, 77759,  2*
15, 16.1, 24136, 11688, 55313, 12594, 6053, 5662, 13881, 5677, 37, 48, 1, 135004,  2*
16, 18.2, 6557, 1904, 5050, 5018, 5601, 5079, 7058, 2371, 60, 66, 1, 38638,  2*
17, 19.1, 13931, 20374, 12108, 5290, 4196, 7031, 7467, 1507, 60, 61, 1, 71904,  2*
18, 20.2, 110863, 99211, 28036, 4034, 33717, 11014, 5931, 5699, 60, 38, 1, 298505,  2*
19, 21.1, 162935, 34213, 4788, 18075, 8862, 9675, 4035, 4360, 51, 34, 0, 246943,  2*
20, 22.2, 252403, 149808, 15914, 27126, 8144, 7732, 8473, 6663, 35, 30, 0, 476263,  2*
21, 23.1, 34558, 22304, 14075, 6109, 5685, 8475, 4451, 4687, 37, 30, 1, 100344,  2*
22, 24.1, 6807, 18332, 17496, 13702, 9157, 8104, 5325, 3543, 44, 44, 1, 82466,  2*
23, 25.1, 8531, 14043, 11210, 5311, 6126, 6945, 7641, 3089, 48, 48, 1, 62896,  2*
24, 26.1, 21189, 8686, 14092, 14117, 5561, 10064, 5254, 5416, 66, 61, 0, 84379,  2*
25, 27.0, 307435, 63903, 3881, 20617, 22985, 9294, 12621, 9574, 60, 54, 0, 450310,  2*
26, 28.2, 383029, 66458, 53019, 21986, 15007, 6398, 9176, 7395, 47, 54, 1, 562468,  2*
27, 29.1, 24916, 11449, 100575, 9153, 8680, 3089, 2827, 3368, 23, 74, 1, 164057,  2*
28, 30.0, 25648, 18645, 5333, 14378, 4539, 3076, 7216, 2783, 11, 69, 0, 81618,  2*
29, 31.1, 13432, 16425, 2662, 3300, 7401, 14240, 5417, 8519, 29, 64, 0, 71396,  2*
30, 32.1, 13283, 34023, 32828, 8598, 37945, 11101, 11770, 4782, 41, 60, 1, 154330,  2*
31, 33.1, 120771, 12944, 23338, 17354, 9137, 6874, 2818, 2980, 57, 47, 1, 196216,  2*
32, 34.1, 10507, 35714, 8480, 16124, 8446, 9659, 7940, 7540, 66, 43, 0, 104410,  2*
33, 36.1, 235537, 9128, 9839, 2917, 2226, 2594, 1463, 942, 48, 60, 1, 264646,  2*
34, 37.1, 14032, 16615, 1703, 4892, 36621, 14780, 5111, 5215, 78, 34, 0, 98969,  2*
35, 38.1, 19546, 38427, 12444, 6806, 13917, 5598, 8955, 4195, 70, 29, 1, 109888,  2*
36, 39.1, 2909, 6508, 17638, 12361, 15211, 9705, 3669, 4901, 80, 29, 1, 72902,  2*
37, 40.0, 34409, 5540, 17282, 9421, 6621, 8216, 8761, 3288, 75, 40, 1, 93538,  2*
38, 42.0, 27099, 88120, 30279, 37623, 6848, 11812, 11006, 10225, 51, 57, 0, 223012,  2*
39, 43.0, 397235, 60942, 15080, 11036, 12137, 7718, 7966, 3966, 61, 54, 1, 516080,  2*
40, 44.1, 1559, 5083, 33251, 3613, 4617, 13247, 10102, 8107, 63, 56, 1, 79579,  2*
41, 45.0, 156588, 30018, 2203, 3331, 4463, 4891, 1311, 1123, 69, 41, 0, 203928,  2*
42, 46.1, 98032, 47898, 23643, 18552, 14757, 12370, 5998, 2451, 54, 41, 1, 223701,  2*
43, 47.1, 397823, 63096, 1810, 7006, 2528, 8756, 3302, 4519, 56, 30, 0, 488840,  2*
