obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 58.8, 55859, 18110, 6147, 18241, 3902, 8751, 5534, 4434, 40, 51, 0, 120978,  1*
57, 59.9, 4608, 13769, 23338, 9065, 7452, 6685, 5173, 12047, 38, 51, 1, 82137,  1*
58, 60.8, 4124, 15264, 2580, 5544, 5045, 7877, 10830, 3345, 57, 40, 0, 54609,  1*
59, 61.7, 30036, 49815, 32280, 12001, 15302, 7371, 3722, 4758, 61, 56, 1, 155285,  1*
60, 62.8, 48024, 13208, 30635, 16177, 9841, 10048, 3996, 8931, 60, 63, 1, 140860,  1*
61, 63.8, 146755, 187842, 21876, 59645, 18070, 5540, 13772, 6988, 38, 51, 0, 460488,  1*
62, 64.8, 48595, 54591, 28272, 5931, 3491, 3373, 2407, 2345, 16, 57, 1, 149005,  1*
63, 65.8, 2932, 12242, 6644, 6265, 4263, 9350, 2522, 2246, 30, 56, 1, 46464,  1*
64, 66.7, 26253, 25549, 4197, 32941, 8932, 8184, 15741, 5088, 29, 53, 0, 126885,  1*
65, 68.8, 10653, 9453, 7727, 2547, 12708, 7738, 4123, 3701, 61, 51, 1, 58650,  1*
66, 69.7, 5006, 16373, 4294, 15396, 8937, 9445, 14228, 7710, 64, 64, 0, 81389,  1*
67, 70.9, 20031, 9534, 13248, 7078, 9230, 7214, 5452, 8391, 70, 63, 1, 80178,  1*
68, 71.7, 31045, 16219, 60459, 26009, 3965, 4628, 4508, 4545, 50, 84, 1, 151378,  1*
69, 72.9, 24327, 29409, 12774, 5528, 5306, 7891, 16130, 6529, 56, 70, 1, 107894,  1*
70, 73.8, 79517, 50627, 24181, 6864, 3447, 4818, 4697, 6190, 43, 70, 1, 180341,  1*
71, 74.7, 20525, 16021, 10503, 13399, 10923, 6087, 3392, 4061, 38, 69, 0, 84911,  1*
72, 75.8, 20234, 14127, 996, 6798, 3573, 7038, 3068, 2875, 56, 47, 0, 58709,  1*
73, 76.8, 89193, 23875, 23563, 7361, 4271, 7906, 3349, 3408, 54, 53, 1, 162926,  1*
74, 77.9, 240754, 61201, 26771, 11557, 10646, 9848, 3924, 5319, 57, 53, 1, 370020,  1*
75, 78.8, 38710, 46420, 25590, 10047, 13439, 3446, 6632, 10881, 44, 51, 1, 155165,  1*
76, 79.8, 33501, 15458, 7441, 10445, 7526, 5977, 9789, 5392, 38, 57, 0, 95529,  1*
77, 80.8, 6380, 6499, 5690, 3201, 5826, 7410, 10265, 3709, 50, 50, 1, 48980,  1*
78, 81.7, 2570, 15489, 23871, 3262, 2155, 5846, 3511, 3210, 53, 57, 1, 59914,  1*
79, 82.8, 7419, 20283, 4813, 3721, 5221, 5197, 3603, 3031, 67, 53, 1, 53288,  1*
80, 83.8, 40400, 64359, 7639, 5031, 10949, 2976, 6504, 4893, 53, 40, 1, 142751,  1*
81, 84.8, 9098, 34569, 41342, 9978, 4003, 7427, 4996, 3553, 37, 48, 1, 114966,  1*
82, 85.7, 8681, 28839, 11484, 1518, 5241, 5311, 3757, 4695, 37, 35, 1, 69526,  1*
83, 86.8, 87978, 43455, 4990, 6335, 5574, 6248, 3750, 2292, 30, 30, 0, 160622,  1*
84, 87.7, 86741, 20569, 5034, 3079, 1653, 1140, 2017, 1208, 30, 40, 1, 121441,  1*
85, 88.8, 12026, 16054, 34411, 3993, 5952, 7697, 3314, 7481, 37, 41, 1, 90928,  1*
86, 89.8, 95494, 46791, 3782, 3943, 7367, 12142, 5832, 2821, 41, 30, 0, 178172,  1*
87, 91.7, 36908, 19731, 21642, 12619, 12280, 8373, 3252, 3520, 47, 44, 1, 118325,  1*
88, 92.7, 5173, 11399, 33520, 4925, 7625, 2462, 4378, 2911, 57, 51, 1, 72393,  1*
89, 93.7, 22747, 5383, 14390, 18027, 5746, 6197, 1007, 3232, 56, 80, 0, 76729,  1*
90, 94.7, 5979, 12647, 4361, 4933, 5296, 6563, 1580, 4966, 61, 70, 0, 46325,  1*
91, 95.7, 15632, 6151, 1297, 12298, 6462, 2097, 2747, 4189, 50, 78, 0, 50873,  1*
92, 97.7, 4254, 5726, 14846, 16471, 5125, 5994, 1647, 1153, 60, 78, 0, 55216,  1*
93, 98.6, 3558, 15347, 22025, 15088, 9999, 7868, 2915, 1953, 54, 83, 1, 78753,  1*
94, 99.7, 6704, 18037, 4263, 13935, 5855, 5842, 8038, 1651, 60, 80, 0, 64325,  1*
95, 100.6, 7683, 13584, 9358, 3190, 3581, 3373, 3334, 3624, 57, 67, 1, 47727,  1*
96, 101.7, 5148, 18054, 4543, 9679, 6719, 5685, 4835, 2860, 57, 57, 0, 57523,  1*
97, 102.7, 8905, 6480, 12019, 19696, 6274, 7720, 2781, 3771, 61, 63, 0, 67646,  1*
98, 103.6, 9549, 8391, 12641, 15006, 5812, 5624, 6575, 2475, 60, 70, 0, 66073,  1*
99, 104.7, 32812, 60161, 6940, 18005, 7158, 6903, 3504, 4158, 54, 66, 0, 139641,  1*
100, 105.7, 71971, 30491, 1231, 2265, 912, 734, 2383, 1166, 34, 51, 0, 111153,  1*
101, 106.7, 1931, 9493, 49353, 7267, 12603, 6737, 4795, 8231, 24, 51, 1, 100410,  1*
102, 107.7, 10253, 6848, 3460, 8405, 3348, 3506, 8350, 5016, 26, 47, 0, 49186,  1*
103, 108.6, 18624, 26029, 9706, 5743, 1552, 6535, 6389, 3901, 34, 50, 1, 78479,  1*
104, 109.7, 9412, 16830, 13474, 7898, 3148, 3436, 5125, 2104, 48, 70, 1, 61427,  1*
105, 110.6, 23350, 7447, 4462, 7786, 4348, 4156, 6861, 3128, 56, 61, 0, 61538,  1*
106, 111.6, 1608, 25440, 1642, 9057, 7132, 5639, 2998, 3737, 54, 51, 0, 57253,  1*
107, 112.7, 12342, 16495, 5085, 4126, 4820, 11578, 10218, 2481, 66, 44, 1, 67145,  1*
108, 113.7, 136196, 78618, 5352, 7900, 7684, 6240, 2998, 9537, 64, 26, 0, 254525,  1*
109, 115.7, 21704, 15532, 2027, 8707, 5147, 5623, 5263, 4313, 63, 20, 0, 68316,  1*
110, 116.6, 14525, 8210, 2904, 3502, 7436, 6062, 5026, 7433, 66, 24, 0, 55098,  1*
